Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),Taupunkt (°C),,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),Ozon-8h-Mittel 12-20h,,Wind-G mittel (m/s),Wind-G Max
1/2/2014 2:00,2.6,3.6,58.7,9.7,0,0,149,1.8,,2/21/2014,12.1770833333333,34.7,29.6708333333333,54.9,46.7851063829787,71.5,9.07291666666667,3128,0,11,6,60.0,48.0,1.68125,3.9
1/2/2014 2:30,2.7,3.5,59.2,9.6,0,0,133,2.1,,2/22/2014,3.62765957446808,12.4,25.4021276595745,37.6,49.7595744680851,72.2,6.30208333333333,3046,3.17,9,4,61.1,49.8,1.40625,2.4
1/2/2014 3:00,2.6,3.5,59.6,9.8,0,0,127,1.8,,2/23/2014,2.35,12.9,17.0395833333333,43,54.8936170212766,75.3,8.06041666666667,5482,0,11.6,5.7,70.1,51.5,1.14583333333333,2.6
1/2/2014 3:30,2.5,3.6,58.8,9.7,0,0,127,1.5,,2/24/2014,14.8104166666667,159,24.6229166666667,77.3,50.6382978723404,72.5,9.28958333333333,6415,0,14.8,4.2,64.0,52.6,1.78541666666667,4.3
1/2/2014 4:00,2.4,3,60.3,9.9,0,0,137,2.1,,2/25/2014,15.1978723404255,63.5,46.068085106383,83,28.4489361702128,61.4,8.97291666666667,4255,0,13.6,4.1,46.3,53.9,1.2,2.3
1/2/2014 4:30,2.5,6.1,52,9.2,0,0,127,1.6,,2/26/2014,24.2770833333333,76.7,48.2541666666667,89.9,28.8617021276596,52.9,9.05625,2148,7.54,11.4,7.4,38.4,54.6,1.06666666666667,1.9
1/2/2014 5:00,2.8,7,50.2,8.6,0,0,133,1.2,,2/27/2014,8.99583333333334,29.7,32.71875,67.5,37.1659574468085,69.1,7.5,3585,2.49,10.4,5.3,45.8,54.9,1.25833333333333,2.2
1/2/2014 5:30,2.9,8.3,47.8,8.2,0,0.43,152,1.1,,2/28/2014,2.98510638297872,18.3,20.7553191489362,44.3,55.6276595744681,79.7,7.33541666666667,4345,2.41,11.1,4.8,70.5,54.8,1.525,3.1
1/2/2014 6:00,3,12.5,45,7.9,0,0.5,158,1.6,,3/1/2014,5.08958333333334,18.3,27.65,59.2,40.0595744680851,71.8,6.8375,3537,0.15,9.4,3.9,60.0,54.5,0.716666666666667,1.4
1/2/2014 6:30,3.4,18.7,39.4,7.7,0,0.38,141,1.4,,3/2/2014,6.78125,21.6,23.9354166666667,60.3,38.0148936170213,61.1,6.59583333333333,5826,0,9.6,4,54.0,53.7,1.11875,3.2
1/2/2014 7:00,3.4,15,40.7,7.4,0,0.26,133,1.4,,3/3/2014,7.94893617021277,28.6,32.6787234042553,63.6,36.0914893617021,64.2,6.90833333333333,2340,0,10.2,5,52.9,52.8,1.41041666666667,2.8
1/2/2014 7:30,3.1,14.9,42.5,7.3,0,0.25,141,1.6,,3/4/2014,39.5520833333333,151.7,46.29375,66,22.953488372093,75.9,6.68333333333334,5183,0,12,3.2,45.1,52.0,0.9,2.4
1/2/2014 8:00,6.9,20.6,46.5,8.6,0,0.22,155,2.3,,3/5/2014,36.1979166666667,212.1,47.3458333333333,87.1,20.6066666666667,78.1,6.8375,5879,0,11.4,3.7,47.4,51.5,1.18125,2.8
1/2/2014 8:30,2.9,16.1,43.1,7.8,2,0.09,130,1.9,,3/6/2014,36.0808510638298,133.1,39.4851063829787,67.8,27.6909090909091,68.1,6.79583333333333,6549,0,12.7,1,52.3,50.7,0.9375,2.5
1/2/2014 9:00,5.1,14.5,49.5,8.2,9,0,133,1.9,,3/7/2014,49.1791666666667,203.6,50.6229166666667,88.6,26.7765957446808,68.8,8.75,7305,0,15.1,1.8,56.6,50.2,0.852083333333334,3.3
1/2/2014 9:30,3,11.4,53.6,8.9,28,0,128,2,,3/8/2014,13.0958333333333,92.4,26.6104166666667,56.2,61.2935483870968,91.6,10.13125,7423,0,16.6,3,84.7,50.4,1.38125,3.4
1/2/2014 10:00,3.3,9.6,58.8,9.7,26,0,151,2.5,,3/9/2014,5.33617021276596,22.3,17.1914893617021,49.3,71.7903225806452,88.2,14.3291666666667,8210,0,19.6,10.1,78.1,50.4,2.35625,4.2
1/2/2014 10:30,6.7,17,48.9,9.7,27,0,149,2.2,,3/10/2014,11.3,38.6,33.8791666666667,84.3,78.95,85,12.9229166666667,7917,0,18.7,8,,49.8,1.2125,2.9
1/2/2014 11:00,4.6,12.5,55.8,10.2,28,0,161,2.8,,3/11/2014,28.0979166666667,124.8,43.1645833333333,105.1,,0,11.9208333333333,8251,0,19.2,5.6,,49.6,0.995833333333333,2.8
1/2/2014 11:30,4.3,13,52.8,10.3,82,0,153,2.1,,3/12/2014,16.6021276595745,72.6,34.6021276595745,89.1,,0,13.68125,8072,0,19.5,8.2,,49.2,1.21875,3.8
1/2/2014 12:00,6.2,14.3,53.3,10.7,67,0,161,2.4,,3/13/2014,28.0541666666667,121.9,68.4416666666667,95.5,46.164,107.6,11.3833333333333,8011,0,19.1,4.3,,48.7,0.8625,2.4
1/2/2014 12:30,5.1,13.6,52.3,10.5,63,0,158,2.8,,3/14/2014,33.3434782608696,176.6,66.7173913043478,140.4,19.02,45.6,10.3541666666667,7979,0,18.1,4,32.1,48.8,0.74375,1.4
1/2/2014 13:00,4,11.3,53,10.4,50,0,155,2.5,,3/15/2014,10.1978723404255,22.4,33.731914893617,62.6,38.031914893617,61.2,8.95,1469,0.25,10.2,6.9,54.9,48.9,1.95833333333333,4.6
1/2/2014 13:30,7.2,21.6,44.3,10.4,25,0,164,2.1,,3/16/2014,5.68333333333333,37.5,21.3208333333333,63.4,48.2085106382979,71.8,11.1208333333333,3158,0.01,15.3,8.7,62.8,48.7,1.43333333333333,3.3
1/2/2014 14:00,14.6,27.4,40,9.6,41,1.5,187,1.6,,3/17/2014,15.4979166666667,63.1,35.8708333333333,73,36.031914893617,72.7,11.55,6282,0,17.6,7.7,59.8,48.4,0.972916666666667,2.4
1/2/2014 14:30,6.7,19.5,45.3,9.4,148,0,151,1.7,,3/18/2014,17.8872340425532,63.6,31.7404255319149,63.8,27.4936170212766,71.5,10.70625,5066,0.11,15.5,6.2,36.1,48.8,1.4125,4.6
1/2/2014 15:00,8.3,24.6,45.8,9.7,77,0,167,1.5,,3/19/2014,11.9916666666667,56.6,28.9291666666667,63.4,51.4595744680851,73.6,12.2291666666667,5667,0,16,8.7,64.7,49.1,1.5875,3.4
1/2/2014 15:30,5.4,19.4,51,9.6,92,0,161,2,,3/20/2014,13.975,145.7,38.5458333333333,91.7,44.7808510638298,88.9,13.9916666666667,9534,0,22.4,5.1,75.2,49.6,1.2375,2.5
1/2/2014 16:00,9.5,27.4,47.1,9.6,61,0,166,2,,3/21/2014,8.67659574468085,28.5,30.568085106383,62.9,69.0936170212766,105.6,15.6645833333333,4826,1.63,20.1,10.9,88.4,49.7,1.77916666666667,3.4
1/2/2014 16:30,5.5,24,48.1,9.2,21,0,157,1.9,,3/22/2014,3.34166666666667,10.4,22.8583333333333,35.4,52.7936170212766,79.7,9.96458333333333,2352,12.41,11.5,7.7,67.9,50.0,0.983333333333333,2.2
1/2/2014 17:00,8.4,35.2,37.3,9,0,0,165,1.6,,3/23/2014,5.51458333333334,19.7,19.075,34.6,55.868085106383,78.7,7.68125,4637,0,10.2,5.5,70.6,49.2,1.16875,3.1
1/2/2014 17:30,7.1,27.9,42.7,8.8,0,0.03,163,1.7,,3/24/2014,14.3446808510638,51.4,32.4382978723404,57.3,34.4595744680851,68.8,5.40208333333333,6561,2.88,9.3,2.7,54.0,48.5,0.995833333333334,2.3
1/2/2014 18:00,6.2,28,40.9,8.7,0,0,161,1.6,,3/25/2014,7.4875,39.7,20.8458333333333,39.3,50.3404255319149,88.3,6.15833333333333,7069,0,10.3,2.5,80.1,47.4,0.975,2.2
1/2/2014 18:30,4.2,27.7,39.5,8.4,0,0,158,1.3,,3/26/2014,15.90625,87.5,28.2291666666667,63.2,53.1978723404255,93.9,6.83958333333334,5697,0,11.3,0.5,83.4,46.8,1.05,2.2
1/2/2014 19:00,3,24.3,39.3,8.2,0,0,135,1,,3/27/2014,6.23478260869565,34.2,18.1326086956522,77.3,71.0304347826087,98.4,11.31875,10047,0,16.1,6.8,84.9,45.8,1.91666666666667,4
1/2/2014 19:30,2.7,21.2,41.2,8.3,0,0,140,1.1,,3/28/2014,3.24583333333333,41.1,10.7291666666667,52.4,88.4425531914894,108.9,14.1791666666667,9198,0,18.3,10.5,104.6,45.1,2.96875,5.4
1/2/2014 20:00,3,23.6,38,8.3,0,0,149,1.6,,3/29/2014,2.36041666666667,16.2,15.3875,62.5,80.5340425531915,113.1,14.9145833333333,10088,0,20.6,7.1,106.8,44.1,2.10833333333333,4.6
1/2/2014 20:30,3,23.5,36.1,8.1,0,0,148,1.2,,3/30/2014,9.75106382978724,23.5,42.2297872340426,70.9,48.9404255319149,105.4,13.5541666666667,9535,0,20.9,6.1,84.9,43.1,0.73125,1.7
1/2/2014 21:00,3,21.3,37,8,0,0,147,1.1,,3/31/2014,23.4041666666667,87,53.0958333333333,104.2,37.7829787234043,102,13.8,7877,0,21.4,7.9,58.9,42.1,0.802083333333333,2.3
1/2/2014 21:30,4,27.1,30.4,8,0,0,130,0.7,,4/1/2014,12.5441860465116,74.8,47.1348837209302,91.7,44.1227272727273,81.9,14.975,8952,0,21.8,8.7,68.5,41.2,0.691666666666667,1.8
1/2/2014 22:00,4.2,28.6,28.3,8.2,0,0,135,0.8,,4/2/2014,17.6085106382979,101.8,48.2425531914894,88,53.5510638297872,119,16.3875,9877,0,23.7,9.5,93.7,40.5,0.639583333333333,1.3
1/2/2014 22:30,2.8,26,31.8,8.3,0,0,146,1.1,,4/3/2014,18.9854166666667,81.3,40.4625,84.5,58.7234042553192,103.6,17.78125,6888,0,23.6,11,77.9,39.7,0.952083333333333,2.8
1/2/2014 23:00,3,26.3,30.8,8,0,0,139,1.1,,4/4/2014,22.6458333333333,121.7,42.7770833333334,96.5,54.0361702127659,118.1,16.9604166666667,7085,5.16,23.9,11.9,88.6,38.7,1.05625,6.5
1/2/2014 23:30,3.2,29.1,20.6,7.2,0,0,111,1.1,,4/5/2014,21.3702127659574,57.9,41.0021276595745,57.6,12.3063829787234,40.5,13.3354166666667,2621,0.05,15.7,10.6,72.6,36.8,1,1.9
1/3/2014 0:00,3.5,26,19.3,6.7,0,0,118,1.1,,4/6/2014,4.90208333333334,11.3,23.4125,40.9,49.9255319148936,106.5,15.8375,10048,0,20.7,11.9,96.7,35.1,0.760416666666666,1.9
1/3/2014 0:30,4.1,25.1,18.9,6.6,0,0,132,0.9,,4/7/2014,8.36041666666667,46.4,30.6791666666667,73,51.9510638297872,98.8,16.95625,8624,0,22.9,10.2,86.4,33.3,0.983333333333334,1.7
1/3/2014 1:00,3.4,18.2,28.3,6.7,0,0,133,1.1,,4/8/2014,14.6340425531915,68.1,26.4234042553192,66.1,68.8127659574468,83.5,14.1270833333333,6443,0.58,18,8.4,78.2,32.7,2.90416666666667,4.6
1/3/2014 1:30,2.7,14.9,30.7,7,0,0,133,1.4,,4/9/2014,12.16875,50.2,31.5833333333333,59.4,54.8723404255319,80.2,10.7666666666667,7896,0,14.8,6.4,78.4,31.9,1.13333333333333,3.1
1/3/2014 2:00,3.4,15.4,28.8,7.1,0,0,131,1.2,,4/10/2014,18.0872340425532,91.5,34.7446808510638,76.4,48.9239130434783,81.6,13.0916666666667,10165,0.03,17.6,9,74.3,31.2,1.28333333333333,3.2
1/3/2014 2:30,3.1,13.4,,7.2,0,0.06,144,1.2,,4/11/2014,6.81702127659575,88.2,14.1255319148936,67.9,74.7787234042553,103.1,15.93125,11159,0,20.7,9.9,100.1,30.6,1.72291666666667,3.4
1/3/2014 3:00,2.9,11.5,35.1,7.1,0,0.05,122,1.5,,4/12/2014,11.2895833333333,36.1,30.9875,51.8,54.5702127659574,106.5,14.7541666666667,10200,0,20,8.7,94.0,30.4,1.2,2.6
1/3/2014 3:30,3.3,10.3,37.5,7.3,0,0,123,1.3,,4/13/2014,4.61666666666667,11.1,23.0125,33,69.9446808510638,111.9,13.725,11534,0,18.3,9.3,102.8,30.1,1.32916666666667,2.7
1/3/2014 4:00,2.7,8.1,40.8,7.6,0,0,127,1.4,,4/14/2014,14.6978723404255,59.5,28.4702127659575,68.7,60.0510638297872,85.4,11.2041666666667,5425,0,14.8,6.7,78.0,30.3,2.28541666666667,4.8
1/3/2014 4:30,2.9,7.9,40.9,7.8,0,0,126,1.5,,4/15/2014,12.5958333333333,50.5,28.3333333333333,56.9,54.7957446808511,75.5,7.0125,5159,0,9.7,3.5,73.6,30.6,1.44791666666667,2.9
1/3/2014 5:00,3.2,10.2,36.8,7.6,0,0,136,1.2,,4/16/2014,11.8145833333333,64.5,21.5770833333333,62.3,58.568085106383,83.6,8.95208333333333,9996,0,14.2,2.2,77.6,30.6,1.34375,3.3
1/3/2014 5:30,3.5,11.3,33.2,7.3,0,0,134,1.4,,4/17/2014,3.51914893617021,29.5,18.0255319148936,44.5,72.9553191489362,97,11.7625,12999,0,17.7,6.9,87.9,30.8,1.6625,3.9
1/3/2014 6:00,10,19.8,22.2,6.7,0,0,151,1.3,,4/18/2014,3.12708333333333,10.6,17.525,35.5,70.168085106383,103.3,9.84583333333333,6522,0.09,12.4,7.4,90.3,30.4,1.29166666666667,2.6
1/3/2014 6:30,7.2,19.6,25,6.6,0,0,137,1.5,,4/19/2014,1.5375,6.8,9.70208333333333,27.8,83.1021276595745,112.9,12.175,10438,0,18.5,5.6,105.5,29.9,1.44166666666667,3.4
1/3/2014 7:00,9.9,21.9,26.3,7,0,0,138,1.4,,4/20/2014,0.240425531914894,0.6,4.75957446808511,6.5,100.282978723404,121.8,16.9791666666667,11053,0,20.9,13.9,117.0,29.6,2.9375,4.3
1/3/2014 7:30,6.9,17.6,30.2,6.9,0,0,135,1.7,,4/21/2014,2.58333333333333,8.7,15.3145833333333,23,78.6978723404255,107.9,14.20625,9222,0,19.1,9.6,109.8,30.3,0.916666666666667,1.5
1/3/2014 8:00,13.4,24.3,29.9,7.6,0,0,124,1.6,,4/22/2014,10.2333333333333,30.5,34.2666666666667,69.3,50.1702127659575,90.4,14.29375,6626,0,19.1,10.8,72.6,31.0,0.741666666666666,1.4
1/3/2014 8:30,15.9,27.7,23.2,7.1,5,0,133,1.6,,4/23/2014,18.7191489361702,94.9,40.768085106383,72.7,47.2063829787234,99,16.1791666666667,11811,0,22.9,8.7,80.9,31.3,0.764583333333334,2.3
1/3/2014 9:00,9.6,22.5,29.6,7.4,22,0,134,1.7,,4/24/2014,11.1208333333333,61.7,26.9729166666667,59,78.431914893617,132.2,18.04375,10895,0,24.8,10.1,126.1,31.3,1.23958333333333,5.2
1/3/2014 9:30,16.8,29.5,24.7,7.9,34,0,127,1.6,,4/25/2014,3.68510638297872,23.8,16.1978723404255,49.9,97.3217391304348,131.5,19.375,10921,5.41,25.9,14.9,122.7,30.9,1.75208333333333,4.5
1/3/2014 10:00,6.8,20,34,8.6,31,0,116,1.9,,4/26/2014,5.74042553191489,17.8,23.9787234042553,43.4,59.7340425531915,110.6,16.3333333333333,9923,3.38,20.7,13.3,90.9,31.3,0.929166666666667,1.9
