Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),Taupunkt (°C),,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),,Ozon 8h-Mittel
1/1/2010 16:00,7,18.09,18.26,0.58,14,0,316,2.42,-1.68,2/1/2010,7.56818181818182,24,31.0175,52.99,39.5826666666667,52.61,-1.46958333333333,935,0.4,-0.07,-2.49,42,16
1/1/2010 16:30,6,19.55,18.74,0.24,9,0,320,2.75,-2.02,2/2/2010,8.14893617021277,26,23.9997872340426,55.69,46.4793617021277,70.73,0.554375,1919,0.23,1.56,-0.92,58,17
1/1/2010 17:00,6,22.66,19.56,0.04,0,0,317,2.84,-2.15,2/3/2010,17.2553191489362,92,44.9489361702128,96.39,29.3691489361702,70.53,1.58395833333333,547,16.7,2.98,-0.22,68,18
1/1/2010 17:30,5,19.82,24.08,-0.08,0,0,322,3.28,-2.88,2/4/2010,10.5957446808511,57,28.8927659574468,63.62,36.4365957446808,69.31,5.14458333333333,3640,0.01,8.89,2.59,57,19
1/1/2010 18:00,4,20.48,22.78,-0.09,0,0,315,2.85,-3.08,2/5/2010,17.5957446808511,61,34.5914893617021,66.84,18.6534042553191,34.37,2.585625,1684,2.49,4.17,1.08,46,20
1/1/2010 18:30,7,17.59,27.17,-0.1,0,0,309,2.69,-3.17,2/6/2010,22.9574468085106,45,35.2993617021277,57.38,18.8829787234043,53.62,3.30479166666667,1279,0,4.96,2.06,40,20
1/1/2010 19:00,4,14.76,28.81,-0.15,0,0,311,2.05,-3.37,2/7/2010,14.7916666666667,46,34.5047916666667,57.92,19.46375,59.52,2.63895833333333,1528,0,3.97,1.51,39,21
1/1/2010 19:30,2,13.5,30.07,-0.36,0,0,316,2.69,-3.62,2/8/2010,2.17021276595745,8,11.0912765957447,21.02,61.5268085106383,73.51,-1.6475,2003,0,1.51,-3.33,69,22
1/1/2010 20:00,5,15.43,27.55,-0.55,0,0,316,2.34,-3.64,2/9/2010,2.08510638297872,13,14.7004255319149,42.72,50.7387234042553,63.08,-3.33395833333333,1831,0,-1.85,-5.86,61,23
1/1/2010 20:30,4,18.09,25.02,-0.61,0,0,308,2.24,-3.43,2/10/2010,13.3829787234043,35,36.498085106383,65.01,35.7274468085106,50.68,-5.70083333333333,3448,0,-4.07,-6.88,44,23
1/1/2010 21:00,3,15.6,28.02,-0.67,0,0,313,2.5,-3.32,2/11/2010,9.40425531914894,23,29.9229787234043,48.2,56.3253191489362,71.02,-4.50645833333333,2378,0.26,-1.43,-6.98,67,23
1/1/2010 21:30,4,14.75,29.42,-0.75,0,0,314,2.31,-3.28,2/12/2010,13.4468085106383,41,34.2702127659574,73.6,43.7474468085107,62.32,-2.37041666666667,2185,0.04,-0.21,-4.09,60,24
1/1/2010 22:00,1,13.87,27.58,-0.83,0,0,324,1.81,-3.02,2/13/2010,5.78723404255319,13,24.343829787234,46.57,39.5868085106383,53.82,-3.59,3235,0,-2.25,-5.06,49,24
1/1/2010 22:30,2,15.08,26.22,-0.79,0,0,319,1.48,-2.74,2/14/2010,10.0212765957447,24,35.5836170212766,56.92,27.0059574468085,42.15,-3.87041666666667,2779,0.51,-2.07,-5.22,38,25
1/1/2010 23:00,6,18.5,23.19,-0.66,0,0.03,307,1.27,-2.57,2/15/2010,4.52272727272727,19,26.6013636363636,40.48,42.1413333333333,54.4,-2.00354166666667,4424,0.01,0.11,-4.2,49,25
1/1/2010 23:30,,,,-0.75,0,0.04,318,1.71,-2.51,2/16/2010,2.66666666666667,27,19.5854166666667,77.1,63.3547916666666,88.35,-0.70625,6049,0,1.48,-2.69,82,25
1/2/2010 0:00,2,12.7,31.04,-0.87,0,0.01,317,1.83,-2.49,2/17/2010,50.3829787234043,100,79.7148936170213,107.23,8.03021276595745,21.38,-1.43541666666667,3575,0.13,1.84,-5.15,66,26
1/2/2010 0:30,2,9.39,35.41,-1.21,0,0.13,316,1.63,-2.8,2/18/2010,26.6595744680851,59,62.0334042553191,92.24,9.18978723404255,27.35,4.04583333333334,2204,0.04,7.59,0.64,14,27
1/2/2010 1:00,2,9.8,30.98,-1.12,0,0.05,316,1.49,-2.56,2/19/2010,67.6170212765958,170,64.4972340425532,101.44,8.03340425531915,36.12,3.053125,1327,2.91,4.08,1.69,15,28
1/2/2010 1:30,3,12.8,34.66,-0.84,0,0,304,2.06,-2.44,2/20/2010,6.1063829787234,20,30.4021276595745,45.58,34.6474468085106,59.11,1.67645833333333,2444,1.58,4.29,0.22,50,29
1/2/2010 2:00,3,10.42,39.43,-0.8,0,0,293,2.57,-2.86,2/21/2010,2.80851063829787,13,16.9163829787234,29.39,51.7248936170213,66.7,2.718125,2574,0.27,5.01,0.59,58,30
1/2/2010 2:30,1,7.93,42.13,-1.04,0,0.01,296,2.85,-3.03,2/22/2010,7.61702127659575,22,35.9987234042553,56.31,31.9912765957447,56.21,5.91895833333333,2773,2.09,10.67,2.71,59,31
1/2/2010 3:00,2,8.49,43.01,-1.19,0,0,294,2.59,-3,2/23/2010,6.53191489361702,23,32.9151063829787,63.57,40.4336170212766,57.02,8.99854166666667,1347,2.72,10.06,7.54,48,32
1/2/2010 3:30,2,8.65,45,-1.3,0,0,291,2.82,-3.23,2/24/2010,8.02127659574468,34,33.7559574468085,78.9,39.5282978723404,59.31,9.12541666666666,4032,1.12,13.08,7.32,49,33
1/2/2010 4:00,1,11.38,39.95,-1.54,0,0.04,293,2.62,-3.2,2/25/2010,5.40425531914894,18,24.9093617021277,68.49,53.1640425531915,72.01,9.88,4629,1.44,12.51,8.24,61,33
1/2/2010 4:30,3,11.23,39.06,-1.83,0,0,286,2.78,-3.26,2/26/2010,6.10416666666667,16,21.445625,45.72,49.31,67.61,7.33166666666667,2430,4.06,10.97,3.7,61,34
1/2/2010 5:00,2,11.27,40.9,-1.89,0,0,296,2.61,-3.26,2/27/2010,2.53191489361702,9,12.6482978723404,31.96,63.7025531914893,83.19,8.0975,6996,0,13.09,3.31,77,35
1/2/2010 5:30,1,9.86,43.89,-2.2,0,0,308,2.78,-3.64,2/28/2010,2.04255319148936,5,3.63489361702128,9.39,77.3263829787234,88.51,9.98,4869,4.36,15.39,6.37,86,36
1/2/2010 6:00,2,9.52,45.17,-2.11,0,0,316,2.34,-3.78,3/1/2010,13.8636363636364,38,32.7997727272727,75.97,43.7071111111111,77.18,5.81875,4637,0.1,8.34,1.47,84,37
1/2/2010 6:30,2,10.32,45.51,-2.49,0,0,315,2.35,-4.25,3/2/2010,49.8936170212766,188,59.5942553191489,104.55,8.66191489361702,50.26,2.8,3629,0,6.99,0.47,18,39
1/2/2010 7:00,4,13.92,42.14,-2.55,0,0,321,2.24,-4.27,3/3/2010,27.5957446808511,165,27.1648936170213,87.54,39.2912765957447,77.34,2.90604166666667,7708,0,8.02,-2.21,71,40
1/2/2010 7:30,7,16.08,38.44,-2.7,0,0,327,1.12,-4.44,3/4/2010,8,25,18.4465957446809,55.14,56.5702127659574,76.19,2.44083333333333,8155,0,5.42,-1.01,70,40
1/2/2010 8:00,3,15.71,36.68,-2.43,0,0,324,1.29,-4.26,3/5/2010,25.6808510638298,96,42.9446808510638,77,31.5993617021277,70.48,-0.694583333333333,8146,0,2.68,-5.05,61,40
1/2/2010 8:30,2,16.32,35.74,-2.46,8,0,327,1.49,-4.71,3/6/2010,4.93617021276596,20,12.9448936170213,43.63,64.4189583333334,80.5,-1.32104166666667,4305,5.6,0.55,-4.71,74,40
1/2/2010 9:00,4,19.98,36.61,-2.51,11,0,329,1.35,-5.14,3/7/2010,1.93617021276596,8,4.67212765957447,20.45,74.3767391304348,85.91,-2.35645833333333,9352,0,1.63,-5.53,82,41
1/2/2010 9:30,3,17.36,38.89,-2.62,33,0,323,1.55,-5.64,3/8/2010,8.27083333333333,50,17.5089583333333,63.05,64.1897872340425,83.79,-2.38270833333333,7534,0,1.16,-7.2,79,41
1/2/2010 10:00,6,15.72,44.84,-2.57,57,0,316,1.71,-6.2,3/9/2010,2.36170212765957,12,8.26744680851064,20.23,74.5008510638298,91.77,-1.635,9154,0,1.65,-5.5,85,41
1/2/2010 10:30,11,23.27,44.04,-2.48,81,0,304,1.36,-6.52,3/10/2010,3.87234042553191,18,11.6051063829787,24.12,74.551875,82.57,0.823333333333334,5782,0,4.19,-3.01,79,41
1/2/2010 11:00,10,20.88,47.61,-2.09,128,0,315,1.62,-6.57,3/11/2010,12.8297872340426,62,39.3691489361702,86.88,49.5702173913043,82.95,1.28791666666667,5828,0,4.32,-2.88,74,42
1/2/2010 11:30,12,27.12,41.58,-1.95,134,0,322,1.17,-6.41,3/12/2010,42.4468085106383,113,68.6395744680851,86.84,6.15404255319149,20.88,-1.13520833333333,2987,0.01,2.17,-5.32,26,41
1/2/2010 12:00,12,19.09,49.36,-1.64,219,0,272,2.73,-6.89,3/13/2010,14.2127659574468,35,47.0557446808511,75.89,22.9436170212766,56.68,3.306875,2177,0,5.38,1.02,43,42
1/2/2010 12:30,13,19.35,49.05,-1.22,230,0,277,2.55,-6.93,3/14/2010,5.51063829787234,11,17.4370212765957,28.09,47.3004255319149,55.13,5.07833333333333,3476,0,7.16,3.5,51,43
1/2/2010 13:00,16,23.79,49,-1.03,222,0,281,1.99,-7.15,3/15/2010,16.0227272727273,54,34.2836363636364,71.47,38.69,60.3,6.08541666666666,2118,1.59,8.94,3.74,44,43
1/2/2010 13:30,14,23.17,50.49,-0.7,220,0,272,1.92,-7.37,3/16/2010,16.4893617021277,64,37.1142553191489,71.4,29.5104255319149,61.68,5.99833333333333,3126,3.09,8.54,2.69,52,43
1/2/2010 14:00,11,17.81,51.53,-0.45,162,0,252,1.73,-7.16,3/17/2010,14.5833333333333,54,41.2191666666667,81.88,25.2851063829787,75.08,6.263125,7775,0,12.13,1.18,50,44
1/2/2010 14:30,13,19.66,52.57,-0.4,130,0,272,1.88,-7.36,3/18/2010,10.5957446808511,40,42.7914893617021,71.39,34.0476595744681,83.61,9.84,7574,0,17.07,3.14,66,44
1/2/2010 15:00,13,18.83,52.17,-0.13,102,0,281,1.73,-7.15,3/19/2010,5.95744680851064,27,38.9310638297872,70.47,48.5414583333333,91.65,12.57,6928,0,17.74,7.89,72,45
1/2/2010 15:30,12,23.36,41.38,-0.04,73,0,208,1.53,-6.13,3/20/2010,2.76595744680851,12,24.5631914893617,49.83,53.4121739130435,85.47,12.253125,2952,5.27,15.88,9.55,72,45
1/2/2010 16:00,12,28.48,38.13,-0.25,40,0,201,1.25,-5.74,3/21/2010,4.46808510638298,14,14.016170212766,34.93,57.4391489361702,78.55,12.0041666666667,2644,5.3,13.97,8.77,67,45
1/2/2010 16:30,15,36.66,30.36,-0.4,19,0,194,1.1,-5.34,3/22/2010,13.5106382978723,55,29.9,58.29,29.5095744680851,56.08,9.89125,6360,0.52,13.75,5.88,50,45
1/2/2010 17:00,6,22.09,41.96,-0.51,0,0,199,2.03,-5.08,3/23/2010,14.5744680851064,63,31.7170212765957,90.7,33.7417777777778,76.09,9.37958333333333,10270,0,15.07,3.13,63,45
1/2/2010 17:30,5,20.15,40.2,-0.72,0,0,198,1.8,-5.2,3/24/2010,17.8510638297872,110,30.2514893617021,76.04,57.285,92.81,13.4158333333333,10374,0,19.79,6.68,75,45
1/2/2010 18:00,11,43.37,22.77,-1.13,0,0,182,0.81,-5.18,3/25/2010,17.4255319148936,57,47.4682978723404,79.41,37.1911627906977,75.8,14.4754166666667,6528,0,20.09,8.73,72,44
1/2/2010 18:30,5,38.39,23.6,-1.24,0,0,158,0.92,-5.06,3/26/2010,9.14893617021277,25,32.9463829787234,55.2,48.5532608695652,77.36,11.4314583333333,3304,5.44,17.87,6.86,61,43
1/2/2010 19:00,5,36.16,25.46,-1.08,0,0,158,1.42,-4.91,3/27/2010,4.79166666666667,15,24.926875,52.79,48.3257446808511,62.99,7.36895833333333,2872,7.13,8.72,6.15,56,41
1/2/2010 19:30,3,32.54,27.98,-1.11,0,0,154,1.6,-4.77,3/28/2010,3.36170212765957,13,13.576170212766,22.95,58.2674468085107,74.12,8.75229166666666,2980,0.23,11,7.15,70,40
1/2/2010 20:00,2,31.33,28.32,-1.02,0,0,153,1.58,-4.69,3/29/2010,6.79545454545455,22,20.4663636363636,51.41,54.868,73.43,11.71375,3784,2.49,14.87,9.14,69,39
1/2/2010 20:30,2,25.62,33.95,-1.06,0,0,154,1.58,-4.88,3/30/2010,7.70212765957447,29,22.2768085106383,51.64,62.4971739130435,89.33,12.13375,7535,3.19,16.87,8.06,72,38
1/2/2010 21:00,2,25.65,34.31,-1.12,0,0,143,1.32,-5.01,3/31/2010,7.34042553191489,27,24.6302127659574,63.35,57.4244680851064,85.56,7.51729166666667,6483,2.35,10.68,5.65,75,37
1/2/2010 21:30,1,24.17,35.68,-1,0,0,148,1.37,-4.93,4/1/2010,8.95744680851064,33,25.9340425531915,71.56,56.951914893617,77.77,6.0575,7184,0.06,9.16,2.68,72,36
1/2/2010 22:00,1,23.89,36.92,-0.9,0,0,148,1.34,-4.95,4/2/2010,2.29787234042553,9,10.4646808510638,25.17,63.0231914893617,91.73,7.01395833333333,11222,0,12.34,0.2,86,35
1/2/2010 22:30,2,23.08,36.92,-0.83,0,0,155,1.19,-4.99,4/3/2010,2.78723404255319,10,14.3610638297872,28.27,69.0535416666667,87.17,8.751875,4875,6.16,12.19,6.56,80,34
1/2/2010 23:00,2,29.43,28.18,-1.04,0,0,155,1.27,-4.93,4/4/2010,2.80851063829787,7,9.95829787234042,21.24,70.8182608695652,91.49,8.55729166666667,5887,0.14,11.9,6.23,84,33
1/2/2010 23:30,1,30.95,23.98,-1.32,0,0,155,0.81,-5.08,4/5/2010,3.375,14,14.36375,30.39,64.08,87.14,7.7875,6151,0.52,11.53,4.91,80,32
1/3/2010 0:00,2,26.72,31.96,-1.13,0,0,180,1.43,-4.94,4/6/2010,13.3829787234043,132,17.1346808510638,82.14,67.9755319148936,101.22,10.119375,13236,0,16.25,2.26,93,31
1/3/2010 0:30,,,,-1.41,0,0,179,1.54,-4.89,4/7/2010,5.63829787234043,55,14.6434042553191,84.74,74.3022916666667,100.82,14.700625,13212,0,21.75,9.06,90,31
1/3/2010 1:00,2,17.89,41.14,-1.23,0,0,187,1.49,-4.74,4/8/2010,13.8297872340426,48,37.4259574468085,56.08,28.8621739130435,59.08,12.30875,8493,0,16.42,7.67,62,31
1/3/2010 1:30,2,16.37,39.42,-1.33,0,0,186,1.62,-4.76,4/9/2010,5.76595744680851,15,17.9227659574468,37.31,63.0168085106383,96.74,11.5954166666667,12584,0,16,7.75,88,31
1/3/2010 2:00,1,13.54,41.15,-1.45,0,0,167,1.78,-4.7,4/10/2010,7.4468085106383,48,17.1546808510638,49.42,55.91,90.29,9.559375,11092,0,13.56,5.62,86,33
1/3/2010 2:30,1,10.97,43.99,-1.41,0,0.03,171,1.48,-4.63,4/11/2010,1.78723404255319,7,6.30446808510638,29.13,67.0936170212766,85.47,6.56458333333333,5808,1.34,9.05,4.8,81,34
1/3/2010 3:00,1,9.57,45.66,-1.38,0,0,170,1.49,-4.56,4/12/2010,8.15909090909091,35,16.9695454545455,50.93,43.6682222222222,73.12,5.81395833333333,2704,0.93,7.23,4.36,73,35
1/3/2010 3:30,1,9.77,47.06,-1.21,0,0,172,1.73,-4.45,4/13/2010,10.5106382978723,67,22.9548936170213,60.82,42.1208695652174,68.44,7.671875,4050,10.78,10.97,5.3,51,37
1/3/2010 4:00,1,8.78,47.84,-1.22,0,0,176,1.77,-4.48,4/14/2010,14.875,101,21.870625,64.72,70.6955319148936,117.6,9.87729166666667,10247,0,14.29,5.77,107,38
1/3/2010 4:30,1,7.78,48.05,-1.17,0,0,175,1.84,-4.5,4/15/2010,6.72340425531915,37,16.2782978723404,62.71,68.831914893617,97.9,9.38395833333333,7583,0.01,12.11,6.48,105,39
1/3/2010 5:00,1,7.93,46.52,-1.18,0,0,165,1.41,-4.46,4/16/2010,6.80851063829787,37,20.0185106382979,64.12,64.2141666666667,95.8,11.0779166666667,9609,0,15.79,7.55,88,40
1/3/2010 5:30,1,8.1,46.68,-1.07,0,0,169,1.59,-4.36,4/17/2010,4.61702127659575,20,14.7302127659574,43.58,74.1765217391304,107.16,10.908125,14601,0,18.03,3.37,101,40
1/3/2010 6:00,1,8.43,46.13,-1.09,0,0,170,1.64,-4.32,4/18/2010,6.23404255319149,19,23.1612765957447,46.92,71.6591489361702,110.48,12.871875,14530,0,19.71,4.84,102,41
1/3/2010 6:30,1,9.3,45,-1.32,0,0.01,165,1.67,-4.25,4/19/2010,11.2978723404255,42,39.5065957446808,82.1,63.5202127659575,115.22,13.2220833333333,13567,0,20.35,5.99,97,42
1/3/2010 7:00,0,9.73,44.49,-1.15,0,0,157,1.93,-4.07,4/20/2010,17.0425531914894,85,39.2463829787234,71.81,62.2844680851064,123.22,12.395,12913,0,19.1,5.76,112,43
1/3/2010 7:30,1,11,44.43,-1.1,0,0,159,2.29,-4.39,4/21/2010,8.38297872340426,26,26.5151063829787,47.5,58.4608333333334,92.08,8.29208333333333,10691,0,12.29,3.39,91,44
1/3/2010 8:00,1,9.39,46.87,-1.11,0,0,167,1.94,-4.64,4/22/2010,15.1914893617021,113,24.7878723404255,89.34,64.7691304347826,97.86,9.089375,14750,0,15.31,1.56,94,45
1/3/2010 8:30,1,8.77,45.37,-1.06,9,0,160,1.88,-4.66,4/23/2010,11.9583333333333,77,24.3564583333333,75.69,74.4634042553192,110.19,12.645625,15153,0,19.14,3.47,103,45
1/3/2010 9:00,1,9.98,43.91,-1.29,14,0,155,1.97,-4.45,4/24/2010,11.4042553191489,40,32.5251063829787,66.89,75.766170212766,131.59,14.3710416666667,15266,0,22.63,4.17,128,45
1/3/2010 9:30,1,12.54,41.8,-1.12,31,0,154,2.02,-4.36,4/25/2010,3.06382978723404,20,19.3265957446809,62.34,95.1891666666667,133.7,17.6060416666667,14053,0,24.41,7.68,129,45
1/3/2010 10:00,2,13.02,42.53,-0.83,36,0,159,1.99,-4.75,4/26/2010,9.11363636363636,23,28.1704545454545,58.12,61.8923255813954,97.74,14.6308510638298,11820,3.4,18.62,10.64,103,45
1/3/2010 10:30,2,14.28,41.6,-0.87,24,0,159,1.79,-4.85,4/27/2010,11.7021276595745,65,32.0697872340426,74.14,45.4295744680851,101.27,13.8410416666667,13775,0,19.44,8.09,88,45
1/3/2010 11:00,3,15.2,40.1,-0.79,31,0,161,1.78,-4.84,4/28/2010,13.2340425531915,81,26.8251063829787,77.48,78.7368085106383,131.24,16.663125,15275,0,22.68,9,119,45
1/3/2010 11:30,2,17.45,37.38,-0.68,19,0,157,1.53,-4.78,4/29/2010,5.23404255319149,17,32.1482978723404,52.72,86.7295744680851,140.71,19.03375,13918,0,26.42,10.42,123,44
1/3/2010 12:00,3,20.04,35.23,-0.6,22,0,168,1.41,-4.7,4/30/2010,5.5531914893617,21,25.4914893617021,69.21,64.8883333333333,92.77,16.905625,7956,1.47,20.03,12.99,96,44
1/3/2010 12:30,2,17.15,37.03,-0.5,24,0,152,1.45,-4.6,5/1/2010,3.19148936170213,8,15.3008510638298,22.71,54.4671739130435,79.62,12.9425,5059,2.42,15.01,11.68,70,43
1/3/2010 13:00,3,19.03,35.96,-0.38,21,0,149,1.16,-4.46,5/2/2010,2.95833333333333,10,15.3070833333333,32.22,50.8765957446808,73.51,12.2514583333333,6749,0.87,15.63,10.32,65,42
1/3/2010 13:30,3,20.79,34.22,-0.3,19,0,147,1.14,-4.4,5/3/2010,11.5744680851064,40,27.5565957446808,55.12,39.0823404255319,72.51,10.4158333333333,7393,1.23,14.95,7.81,54,41
1/3/2010 14:00,2,19.72,36.78,-0.17,16,0,148,1.19,-4.35,5/4/2010,10.4468085106383,53,20.813829787234,51.96,41.9670833333333,69.9,10.0375,8176,0,14.01,6.19,66,41
1/3/2010 14:30,5,24.89,31.03,-0.17,13,0,168,0.91,-4.42,5/5/2010,2.95744680851064,13,7.1463829787234,20.78,72.8054347826087,81.75,9.00145833333333,7211,0.77,12.83,5.39,78,40
1/3/2010 15:00,7,31.46,26.42,-0.05,17,0,162,0.76,-4.26,5/6/2010,16.3617021276596,42,33.3882978723404,60.59,31.2574468085106,72.31,6.39854166666667,1732,26.79,7.94,5.37,70,39
1/3/2010 15:30,7,33.99,25.61,0.03,16,0,138,0.44,-4.12,5/7/2010,17.5106382978723,60,33.5685106382979,57.3,21.6770212765957,33.22,6.65770833333333,3181,1.82,9.09,4.77,27,38
