Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),Taupunkt (°C),,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),Niederschlag (mm) max,Globalstrahlung (W/m²) max,WindgescIwindigkeit,Windgeschwindigkeit,Ozon 8h-Mittel,
1/1/2013 5:30,2,20.4,43.7,7.1,0,0,154,1.9,,1/11/2013,15.4127659574468,49.1,30.0276595744681,71.7,31.9872340425532,62.1,2.00208333333333,2424,0.07,3.4,0.4,0.06,315,1.05416666666667,2.4,53,
1/1/2013 6:00,2.2,15.8,49.5,7.5,0,0,157,2,,1/12/2013,7.87446808510638,27.8,21.1276595744681,42.9,36.668085106383,50.1,-0.335416666666667,575,0.77,0.7,-0.8,0.31,56,1.01875,3.9,43,
1/1/2013 6:30,1.8,19.9,45.7,7.7,0,0,156,1.7,,1/13/2013,5.48936170212766,24,13.563829787234,32.6,36.9659574468085,47.3,-0.154166666666667,1828,0,1.4,-1.2,0,302,1.11041666666667,2.3,44,
1/1/2013 7:00,2.1,16.6,50.6,7.7,0,0,150,1.1,,1/14/2013,31.8227272727273,96.4,37.0136363636364,67.7,11.4840909090909,35.2,-1.32291666666667,714,0.19,0,-3.6,0.15,181,1.1875,2.5,35,
1/1/2013 7:30,2,14.6,50.4,7.7,0,0,160,1,,1/15/2013,16.4510638297872,86.9,36.4255319148936,57.3,13.3106382978723,33.8,0.041666666666667,1354,0.08,1.9,-3.4,0.07,242,1.75208333333333,3.8,22,
1/1/2013 8:00,3.6,14.2,51.5,7.8,0,0,185,1.2,,1/16/2013,51.1978723404255,113.8,50.9234042553191,69.4,5.42978723404255,15.2,-1.4,325,3.28,0.6,-2.6,0.41,56,1.19375,2.2,10,41
1/1/2013 8:30,4.6,18.8,47.9,7,1,0.08,172,1.2,,1/17/2013,22.9851063829787,38.1,42.4,53.7,7.62127659574468,22,-2.2875,659,0.09,-1.5,-3.5,0.05,102,2.17708333333333,3,15,42
1/1/2013 9:00,2,8.5,52.1,6.3,7,0.14,160,1.4,,1/18/2013,13.5170212765957,60.3,26.0212765957447,57.6,34.3893617021277,59,-1.15208333333333,864,0,0,-1.8,0,92,1.60208333333333,3.4,54,45
1/1/2013 9:30,2.2,9.6,51.1,6.1,19,0.19,155,1.3,,1/19/2013,4.26382978723404,10.1,13.4085106382979,24,45.7404255319149,53.5,-1.56041666666667,1707,0,-0.4,-2.3,0,177,1.97916666666667,4.1,53,47
1/1/2013 10:00,2.6,9.1,53.2,6.2,31,0.04,154,1.4,,1/20/2013,3.76170212765957,12.9,13.2936170212766,24.1,40.6617021276596,49.7,-1.08125,1041,11.21,0.2,-2.4,1.63,138,1.18958333333333,2.4,46,49
1/1/2013 10:30,2.6,9.3,52.2,6.3,35,0.07,154,1.6,,1/21/2013,24.6808510638298,74,36.3446808510638,55.4,15.0340425531915,26.9,0.104166666666667,630,2.42,0.9,-0.9,0.26,71,0.983333333333334,3.7,37,49
1/1/2013 11:00,3.5,15.7,45.4,6.2,48,0.22,149,1.6,,1/22/2013,48.5148936170213,132.5,49.4106382978723,73.4,6.10425531914894,23.3,1.14166666666667,499,1.01,1.8,0.5,0.29,64,0.897916666666667,3,22,49
1/1/2013 11:30,3.1,11.6,50.3,6.3,59,0.28,150,1.5,,1/23/2013,77.231914893617,111.2,60.368085106383,68.1,3.61702127659574,10,-0.210416666666667,1108,0,1,-0.7,0,130,1.30208333333333,1.9,6,49
1/1/2013 12:00,2.9,10.8,50.9,6.4,70,0.16,151,1.7,,1/24/2013,20.9787234042553,51.3,49.0489361702128,62,11.7978723404255,22.8,-2.62083333333333,1476,0,-0.7,-4.3,0,156,1.63958333333333,2.9,17,49
1/1/2013 12:30,2.8,12.2,49.6,6.5,51,0.06,161,1.6,,1/25/2013,18.231914893617,71.4,38.568085106383,60.3,20.1382978723404,46.6,-1.98333333333333,493,0.01,-1.2,-3.1,0.01,62,0.877083333333333,1.8,39,49
1/1/2013 13:00,3.7,15.1,47.4,6.6,60,0.11,170,1.3,,1/26/2013,5.88085106382979,15.9,30.5872340425532,50.9,26.2808510638298,41.6,-1.85625,2401,0,0.1,-4.2,0,245,1.59375,3.4,39,49
1/1/2013 13:30,5.1,16.5,48.8,6.8,58,0.03,181,1.6,,1/27/2013,4.03404255319149,9.5,27.5276595744681,42.9,30.8170212765957,46.5,2.15833333333333,1606,2.95,4.4,-0.4,0.6,220,1.28541666666667,2,38,50
1/1/2013 14:00,4.5,11.5,53.7,7.1,41,0,182,1.5,,1/28/2013,11.8340909090909,42.8,29.9068181818182,55.9,30.8681818181818,50,4.79791666666667,2358,0,7.7,3.1,0,327,1.38333333333333,2.6,38,50
1/1/2013 14:30,4.2,14.1,51.4,7.4,45,0,172,1.6,,1/29/2013,9.29148936170213,31.6,22.9,45.9,46.8063829787234,65.5,7.54375,192,3.8,9.5,5.3,1.17,20,1.99583333333333,2.7,54,50
1/1/2013 15:00,5.5,13.8,54.6,7.8,32,0,195,1.8,,1/30/2013,11.931914893617,29.6,17.8829787234043,40.5,50.3914893617021,76.1,11.86875,546,2.3,15.3,9.1,1.31,56,2.86666666666667,4.3,58,51
1/1/2013 15:30,5.2,12.7,55.6,8,19,0,191,1.7,,1/31/2013,10.936170212766,25.5,17.7851063829787,42.3,60.4978723404255,74.3,9.15208333333333,1986,0,11.3,7.3,0,295,2.57916666666667,4.5,73,51
1/1/2013 16:00,6,18.1,50,8.1,8,0,184,1.5,,2/1/2013,10.1531914893617,32.2,30.9829787234043,58.8,38.1744680851064,69.3,7.78958333333333,567,15.27,9.5,6.5,1.29,76,1.41041666666667,2.5,67,51
1/1/2013 16:30,5.6,15.4,53.3,8.1,4,0,199,2.1,,2/2/2013,10.0659574468085,25,24.136170212766,47.4,42.4382978723404,67.9,4.05833333333333,1243,3.42,7.6,0.5,1.17,229,2.06041666666667,4,51,51
1/1/2013 17:00,5.5,16.4,49.1,7.9,2,0,189,1.6,,2/3/2013,7.38723404255319,19.3,17.0574468085106,50.9,46.7148936170213,68.5,3.10208333333333,1257,0.15,5.1,0.6,0.07,153,1.76041666666667,3,62,51
1/1/2013 17:30,4.7,16.2,49.2,7.9,0,0,182,1.7,,2/4/2013,12.4191489361702,28,23.7382978723404,47.9,40.7723404255319,67.9,4.7,367,3.2,7.8,2,0.91,45,2.05625,3.5,66,51
1/1/2013 18:00,5.4,14.9,48.7,7.8,0,0,198,1.7,,2/5/2013,12.8893617021277,33.1,30.9340425531915,66.1,51.931914893617,82.2,4.4,899,6.06,8.2,0.6,2.39,92,1.73958333333333,4,66,51
1/1/2013 18:30,6.6,17.5,44.5,7.8,0,0,192,1.5,,2/6/2013,8.05106382978724,20.6,30.8787234042553,59.7,41.6872340425532,73.1,1.59583333333333,731,5.36,2.3,1,0.92,101,1.675,2.5,67,50
1/1/2013 19:00,5.5,19.4,40.3,7.9,0,0,192,1.4,,2/7/2013,31.6808510638298,84.9,49.936170212766,71.9,15.4702127659574,41.3,1.61458333333333,1823,1.64,3.7,-0.1,0.5,286,1.05,3.1,25,50
1/1/2013 19:30,5.1,15.2,48.6,8,0,0,203,1.8,,2/8/2013,24.2425531914894,65,44.6276595744681,65.9,21.1468085106383,42.9,0.977083333333333,1233,1.64,2.3,-0.6,0.61,206,0.972916666666666,2.4,32,50
1/1/2013 20:00,4.9,9.9,55.3,7.9,0,0.02,242,2.1,,2/9/2013,11.5085106382979,32.9,28.5340425531915,48.7,27.2234042553191,43.8,-1.30208333333333,2991,2.19,0.9,-2.9,1.19,499,1.05208333333333,1.9,35,50
1/1/2013 20:30,8.3,10.6,65.5,7,0,0.01,261,2.2,,2/10/2013,4.09148936170213,8.1,14.9468085106383,29.5,44.3702127659574,71,-2.06875,4654,0,1.5,-4.6,0,516,1.74583333333333,4.5,64,51
1/1/2013 21:00,9.3,15.2,62.6,6.8,0,0,254,1.4,,2/11/2013,3.79545454545454,13.9,10.5068181818182,26.8,55.0681818181818,59.3,-0.827083333333333,2120,0,1.2,-2.9,0,214,3.21041666666667,7.5,61,52
1/1/2013 21:30,7.2,16.1,61,6.4,0,0,263,2.3,,2/12/2013,10.263829787234,28.7,22.0744680851064,70.1,44.7659574468085,62.9,-0.683333333333333,1409,0,0.4,-2,0,121,1.54791666666667,4.2,54,53
1/1/2013 22:00,6.4,8.8,62.7,6.1,0,0,275,2.5,,2/13/2013,16.863829787234,126.6,31.5276595744681,85.9,41.2297872340426,71.4,-0.016666666666667,1900,0,1.4,-1.3,0,234,0.829166666666666,1.9,55,53
1/1/2013 22:30,7.6,12,59.6,5.7,0,0,269,1.6,,2/14/2013,8.88297872340425,46.6,29.5170212765957,66.8,44.1276595744681,63.8,0.104166666666666,4324,0.06,2.5,-3.3,0.06,440,1.61458333333333,2.5,56,54
1/1/2013 23:00,4.3,15.7,44.8,4.9,0,0,92,0.3,,2/15/2013,35.036170212766,119.5,55.7191489361702,82,12.8297872340425,42.4,0.964583333333333,1223,3.99,2.5,-0.7,0.57,197,0.647916666666667,1.1,41,53
1/1/2013 23:30,7.4,31.9,31.2,4.3,0,0,303,0.1,,2/16/2013,18.263829787234,34.2,40.2638297872341,48.8,9.36808510638298,36.2,3.63541666666667,2106,0,5.4,2.3,0,210,0.727083333333333,1.4,22,52
1/2/2013 0:00,5.8,27.4,27.4,3.7,0,0,150,0.3,,2/17/2013,13.0617021276596,35.8,25.2893617021277,41.5,17.6148936170213,44.2,3.88958333333333,1506,0,5.7,2.2,0,259,0.858333333333333,2.8,31,50
1/2/2013 0:30,3.8,22,28.4,3.3,0,0,31,0.3,,2/18/2013,16.1276595744681,172.1,20.1808510638298,79.5,38.831914893617,65.2,2.75416666666667,3507,0,5.6,0.2,0,453,1.06458333333333,2.2,57,49
1/2/2013 1:00,3.4,20.3,25.7,2.9,0,0,94,0.3,,2/19/2013,47.7978723404255,121.3,52.3744680851064,76.6,8.37659574468085,32.7,0.49375,1253,4.8,1.6,-1.1,0.63,167,0.6625,1.4,47,47
1/2/2013 1:30,2.5,17,27.6,2.9,0,0,96,0.3,,2/20/2013,12.8595744680851,65.2,17.1808510638298,57.3,49.3170212765958,68.3,1.075,2684,0.01,2.4,-0.1,0.01,453,1.80833333333333,3.8,64,46
1/2/2013 2:00,2.7,18.1,22.5,2.4,0,0,103,0.6,,2/21/2013,3.21063829787234,9.1,5.16382978723404,15.2,70.8936170212766,77,-0.808333333333333,4806,0,1.4,-3.1,0,553,2.75,4.8,74,44
1/2/2013 2:30,2.4,15.5,30.1,2.5,0,0,119,0.4,,2/22/2013,8.14468085106383,31.4,14.3446808510638,47.5,64.2276595744681,77.9,-2.90208333333333,2522,0,-1.2,-4.7,0,293,1.8,4.3,71,43
1/2/2013 3:00,3.9,16.6,27.2,2.4,0,0,141,0.7,,2/23/2013,6.32765957446809,13.1,15.0659574468085,28.8,59.7808510638298,69.1,-2.51875,3048,0,-1.7,-3.7,0,274,1.81875,3.1,68,43
1/2/2013 3:30,,,23.9,2.4,0,0,153,0.7,,2/24/2013,9.48723404255319,20.7,28.9872340425532,59.4,35.1446808510638,56.8,-1.3375,2863,1.08,0.7,-3.3,0.23,337,1.10625,2.4,57,41
1/2/2013 4:00,2.6,19.7,29,2.7,0,0,166,1.1,,2/25/2013,29.1363636363636,76.3,47.7272727272727,66.4,11.5454545454545,26.2,0.2,781,2.45,1.3,-0.8,0.47,79,0.870833333333334,1.7,17,39
1/2/2013 4:30,2,15.2,,3.3,0,0,160,1.2,,2/26/2013,25.6340425531915,99.8,41.1829787234043,72.3,16.4574468085106,30.4,2.61458333333333,2778,0,5.6,-1.1,0,332,1.14583333333333,2.8,20,38
1/2/2013 5:00,2.5,15.8,33.7,3.4,0,0,160,1.2,,2/27/2013,6.51914893617021,25.5,14.6063829787234,29.8,32.3744680851064,53.4,3.36875,1992,0,4.9,2.2,0,233,1.04791666666667,2.5,44,36
1/2/2013 5:30,2.6,32.4,20.4,3.2,0,0,152,1.5,,2/28/2013,10.9148936170213,71.3,18.8595744680851,60.4,37.4170212765957,55.2,3.94375,1054,0,5.2,2.3,0,84,0.935416666666667,1.8,49,33
1/2/2013 6:00,3.8,30.8,24.1,3.1,0,0,156,1.3,,3/1/2013,8.83829787234043,27.9,16.6872340425532,34.6,48.1808510638298,66.2,2.85208333333333,1401,0,3.4,2.2,0,140,1.36458333333333,2.9,55,30
1/2/2013 6:30,7.2,27.3,31.4,3.1,0,0,162,1.3,,3/2/2013,6.85957446808511,34.3,21.063829787234,69,55.3723404255319,73.2,3.31875,5930,0,6.5,0.5,0,572,1.13958333333333,2.2,71,28
1/2/2013 7:00,3.3,21.6,33.6,3,0,0,155,1.4,,3/3/2013,14.1106382978723,40.9,32.6574468085106,60,30.531914893617,73.1,2.09583333333333,6761,0,6.9,-2.2,0,583,0.9125,2.3,44,28
1/2/2013 7:30,6.8,28.5,28.6,3.1,0,0,150,1.1,,3/4/2013,5.30425531914893,49.8,14.1,57.2,66.2702127659575,76,6.29583333333333,7752,0,11.3,1.8,0,593,2.4625,4.4,70,28
1/2/2013 8:00,9.3,30,27.6,3.2,0,0,148,1.1,,3/5/2013,51.2872340425532,173.5,57.9638297872341,89.8,23.0340425531915,68.7,6.24583333333333,7254,0,12.7,0,0,574,1.10208333333333,4.5,68,28
1/2/2013 8:30,6.4,34,25,3.1,3,0,146,1,,3/6/2013,59.2148936170212,239.3,56,98.4,18.2276595744681,60.5,7.98125,6369,0,15.8,0.7,0,562,0.895833333333333,3.5,36,27
1/2/2013 9:00,18.4,42.7,21.6,3.4,20,0,161,1.4,,3/7/2013,21.6723404255319,52.6,48.4510638297872,73.4,24.6191489361702,59,11.5666666666667,5239,0.96,16.6,6.6,0.48,536,1.025,4.3,38,27
1/2/2013 9:30,8.4,28.6,31.6,3.5,47,0,166,1.6,,3/8/2013,44.631914893617,168.5,54.8106382978724,99.6,21.336170212766,67.4,13.1770833333333,4788,0.13,17,9.2,0.1,469,1.55833333333333,4.4,45,27
1/2/2013 10:00,14.5,37.2,24.8,3.7,43,0,163,1.1,,3/9/2013,5.91063829787234,17.8,23.7978723404255,42.8,51.4617021276596,77.2,11.5291666666667,4916,2.88,14.7,9.5,0.77,527,1.46875,2.5,72,28
1/2/2013 10:30,,,,3.8,64,0,163,1.2,,3/10/2013,6.21702127659575,15.8,19.0744680851064,32.2,42.7744680851064,78.1,7.70833333333333,4275,0,12.1,2.8,0,388,1.82916666666667,3.7,62,27
1/2/2013 11:00,,,,4,,,177,1,,3/11/2013,10.5818181818182,39.1,19.4931818181818,39.9,29.9113636363636,41.5,2.5375,1125,0.54,3.5,1.6,0.25,96,1.22916666666667,2.1,38,27
1/2/2013 11:30,,,,4,108,0,175,1.2,,3/12/2013,13.3553191489362,47.4,27.7510638297872,58.8,32.468085106383,58.6,0.220833333333333,1240,3.73,2.3,-2.8,0.6,121,1.36458333333333,2.5,40,28
1/2/2013 12:00,13.8,29.7,30.4,4.3,131,0,168,1.3,,3/13/2013,12.831914893617,41,37.0255319148936,70,46.1872340425532,70.1,-2.35208333333333,2608,0,-0.1,-3.7,0,303,1.6625,3.2,61,28
1/2/2013 12:30,19.1,31.9,30.6,4.4,97,0,189,1.3,,3/14/2013,20.1765957446808,64.4,46.1255319148936,75.3,35.1936170212766,60.2,-1.41875,8255,0,2.7,-4.7,0,673,1.27708333333333,2.8,51,28
1/2/2013 13:00,16.4,30.6,29.8,4.6,75,0,172,1.3,,3/15/2013,15.2595744680851,65.7,39.4553191489362,74.9,45.4574468085106,77.3,-0.447916666666667,9323,0,3.4,-4.5,0,660,1.3375,2.3,66,28
1/2/2013 13:30,19.7,28.3,30.6,5,144,0,175,1.3,,3/16/2013,3.64468085106383,12.2,16.6510638297872,41.2,61.0382978723404,89.2,3.94791666666667,7755,0,8.8,-1.6,0,614,3.125,6.6,82,28
1/2/2013 14:00,26,35.5,29.1,5.4,144,0,189,1.2,,3/17/2013,2.52553191489362,5.5,9.6872340425532,15,72.7957446808511,85.5,5.46875,3153,6.35,7.4,3.1,0.94,464,3.06666666666667,5.8,78,29
1/2/2013 14:30,20.7,34.8,31,5.8,125,0,202,1.4,,3/18/2013,13.6723404255319,48.1,36.6276595744681,67.6,42.6702127659575,80.7,5.66041666666667,1841,11.51,7.5,2.3,1.51,179,0.920833333333334,1.8,78,29
1/2/2013 15:00,20.6,31.9,30,6,97,0,188,1.3,,3/19/2013,15.4765957446809,49.1,34.0340425531915,70.6,46.0297872340426,70,5.16875,3507,3.97,8.1,2.3,0.95,397,1.48125,4,58,29
1/2/2013 15:30,24.8,42.7,22.7,6.1,64,0,186,1.2,,3/20/2013,10.1553191489362,24.4,27.7787234042553,52.5,50.9659574468085,72.2,5.68541666666667,2518,7.13,8.7,2.7,3.72,273,1.49375,3.1,58,28
1/2/2013 16:00,32.4,46.9,23.9,6.1,23,0,209,1.5,,3/21/2013,23.5255319148936,72.5,40.5829787234042,72.4,26.3808510638298,47.5,4.18333333333333,3691,0,6.8,2.5,0,417,1.01458333333333,2.4,45,28
1/2/2013 16:30,32.5,51,19.3,6,10,0,202,1.1,,3/22/2013,3.73404255319149,12.4,14.8127659574468,42.4,60.1063829787234,85.7,5.02708333333333,9590,0,9.1,0.5,0,718,3.54166666666667,7.7,83,27
1/2/2013 17:00,32.5,58.7,15.1,5.9,3,0,201,1,,3/23/2013,4.55531914893617,11.8,11.0553191489362,24.7,73.7744680851064,83.4,2.78333333333333,2377,0,4.5,1.2,0,240,2.40208333333333,7.1,81,27
1/2/2013 17:30,28.1,48.8,17.3,5.7,0,0,216,1.3,,3/24/2013,3.26595744680851,7.3,5.88297872340426,13.8,80.5702127659574,88.2,2.39375,7186,0,4.2,0.3,0,727,1.51041666666667,3.4,86,26
1/2/2013 18:00,30.4,50.9,18.7,5.5,0,0,249,1.2,,3/25/2013,4.275,20.7,8.96818181818182,29.4,76.3613636363636,83,1.15625,3452,0,2.9,-1.4,0,354,1.48958333333333,2.9,86,25
1/2/2013 18:30,24,57.5,4.9,4.8,0,0,168,1.1,,3/26/2013,5.20851063829787,25.7,15.7936170212766,53,72.3297872340425,84,0.858333333333333,4611,0,2.9,-0.5,0,456,1.34166666666667,3.8,79,24
1/2/2013 19:00,17.4,55.9,4.7,4.6,0,0,157,1.1,,3/27/2013,2.5468085106383,4.8,8.44468085106383,12.2,83.3276595744681,94.4,1.00833333333333,7371,0,3.8,-1.5,0,608,2.45416666666667,4.2,92,23
1/2/2013 19:30,17,56,5.8,4.4,0,0,169,0.9,,3/28/2013,10.4212765957447,32.9,30.7297872340425,61.6,59.9808510638298,93.2,4.49375,7341,0,8.8,0.7,0,653,1.78333333333333,3.8,92,21
1/2/2013 20:00,6.9,44.4,14.1,4.2,0,0,150,0.9,,3/29/2013,6.49574468085106,13.9,27.431914893617,57.4,59.3234042553191,81.6,3.50625,5555,0.02,6.5,1.3,0.02,503,1.18541666666667,2.5,75,20
1/2/2013 20:30,3.3,42.4,14.2,4,0,0,149,1,,3/30/2013,10.5,28.7,34.268085106383,70.9,51.8234042553191,88.7,3.61666666666667,4037,0,8,-0.9,0,363,1.20416666666667,3,81,19
1/2/2013 21:00,3.9,38.1,19.4,4.2,0,0,162,1.1,,3/31/2013,4.97446808510638,13.1,20.2021276595745,64.8,73.9446808510639,101.3,2.24791666666667,4884,0,5,-0.8,0,345,1.39375,2.7,95,19
1/2/2013 21:30,4.1,40.6,14.8,3.9,0,0,162,1,,4/1/2013,3.19148936170213,7.5,10.6851063829787,32,87.1978723404255,103.5,3.10625,11070,0,6.8,-1.3,0,779,1.7125,4,100,18
1/2/2013 22:00,3.1,33.9,21.5,3.8,0,0,157,1.2,,4/2/2013,5.82127659574468,49.3,13.0148936170213,65.5,84.631914893617,95.7,4.58958333333333,10189,0,9.2,-0.5,0,817,2.00208333333333,5.8,94,17
1/2/2013 22:30,2.7,29.7,23.8,3.5,0,0,159,1.4,,4/3/2013,2.12553191489362,3,8.77659574468085,12.8,83.0617021276596,97.3,4.48333333333333,3280,0,6.5,3.2,0,275,4.76666666666667,6.3,90,17
1/2/2013 23:00,2.9,31.7,19.5,3.4,0,0,145,1.1,,4/4/2013,3.56808510638298,17,10.5957446808511,28.1,83.1382978723405,97.3,5.72916666666667,9571,0,10.8,2.6,0,688,2.71041666666667,5.7,92,16
1/2/2013 23:30,4.7,32,12.4,3,0,0,138,1,,4/5/2013,4.68936170212766,15.2,13.9106382978723,27.2,72.6893617021277,81.7,3.86875,3271,0,5.1,1.8,0,255,1.36458333333333,2.1,82,16
1/3/2013 0:00,3.1,28.1,17.8,3.2,0,0,150,1.4,,4/6/2013,5.21063829787234,26.2,14.3914893617021,39,67.4234042553191,80.7,4.78958333333333,2186,0.11,6.4,3.7,0.07,188,0.970833333333333,1.6,73,15
1/3/2013 0:30,2.2,26.1,24.8,3.6,0,0,161,1.5,,4/7/2013,4.37446808510638,16.3,11.931914893617,31.8,71.0021276595745,103.2,5.8,11295,0.06,10.5,1.4,0.04,860,1.30416666666667,2.7,100,16
1/3/2013 1:00,2.5,27,20.1,3.3,0,0,151,0.9,,4/8/2013,4.625,20,19.2318181818182,41.7,57.5022727272727,74,6.86041666666667,6125,1.68,10.9,3.2,1,515,1.91666666666667,4.7,83,16
1/3/2013 1:30,1.9,24.8,,3.6,0,0,159,1.8,,4/9/2013,7.49148936170212,32.2,29.0404255319149,49.7,47.4085106382979,78.9,8.08333333333333,4753,9.08,11.9,5.9,2.58,577,1.30833333333333,2.4,56,16
1/3/2013 2:00,2,27.2,23.2,3.8,0,0,159,2,,4/10/2013,13.3425531914894,30.3,30.568085106383,51.3,54.8723404255319,78.5,9.59375,2975,2.48,12.8,7.4,0.74,405,1.84375,3.3,69,16
1/3/2013 2:30,2.1,30.5,19.6,3.7,0,0,159,2.4,,4/11/2013,8.25744680851064,21.4,25.7042553191489,50.6,45.9659574468085,72,12.4458333333333,2452,12.53,15.4,9.2,3.67,318,1.65,3.1,56,17
1/3/2013 3:00,2.3,33.4,14.8,3.4,0,0,157,2.2,,4/12/2013,11.2234042553192,36.9,21.1191489361702,61.4,69.7702127659575,88.8,11.8583333333333,7352,9.64,15.2,9.1,0.98,708,2.11666666666667,3.7,79,18
1/3/2013 3:30,2.1,30.7,16.4,3.3,0,0,159,2.1,,4/13/2013,6.42127659574468,19.1,18.2659574468085,40,68.2191489361702,90,11.25,6200,5.55,16.3,8.1,1.88,584,1.375,3.3,83,18
1/3/2013 4:00,2.2,27.8,18.7,3.1,0,0,161,2.2,,4/14/2013,4.23617021276596,10.3,9.94042553191489,22.7,72.8893617021277,107.8,16.9104166666667,10020,0,23.4,10.3,0,801,1.71666666666667,4,99,19
1/3/2013 4:30,,,22.1,3.1,0,0,152,1.8,,4/15/2013,14.7255319148936,60.2,33.8829787234043,75.9,60.7234042553191,98.6,20.1916666666667,11511,0,25.9,13,0,777,1.25416666666667,2.6,95,19
1/3/2013 5:00,2,25.2,23.3,3.5,0,0,157,1.9,,4/16/2013,23.6723404255319,90.6,44.1851063829787,69,43.2659574468085,82.8,18.4083333333333,8319,0,22.6,13.8,0,781,1.12291666666667,2.8,75,20
1/3/2013 5:30,2.2,24.5,23.9,3.6,0,0,155,1.7,,4/17/2013,8.61136363636364,31.8,22.125,46.6,65.7586956521739,97.7,20.0872340425532,9432,0,25.2,14.6,0,713,1.34893617021277,3.3,86,20
1/3/2013 6:00,2.9,23,25.7,3.7,0,0,154,1.9,,4/18/2013,16.9787234042553,38.2,30.336170212766,57.2,61.9127659574468,86.1,18.70625,7451,0,22.1,13.4,0,692,2.0375,4.1,88,20
1/3/2013 6:30,2.9,24.3,25.6,3.8,0,0,154,2,,4/19/2013,12.275,51.3,30.9145833333333,70.8,56.2425531914894,86.8,12.3979166666667,5506,0,14.3,9.9,0,408,1.20833333333333,2.9,76,21
1/3/2013 7:00,3.3,23.2,27.8,4,0,0,157,1.9,,4/20/2013,3.8,13.8,8.37916666666666,43.5,67.7106382978723,87.6,10.91875,3715,0,12,9.5,0,380,1.83333333333333,3.5,79,21
1/3/2013 7:30,2.7,19,32.7,4.2,0,0,151,1.8,,4/21/2013,7.56170212765958,19.1,17.2340425531915,40.9,54.5936170212766,72.7,11.55,4228,0,13.7,9.6,0,400,1.44375,5.6,74,22
1/3/2013 8:00,5.6,26.4,28.3,4.4,0,0.25,161,2.3,,4/22/2013,17.45,71.5,32.5695652173913,55,39.6777777777778,68.6,13.0729166666667,8000,0,16.8,10.4,0,565,0.99375,1.9,61,23
