Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),Taupunkt (°C),,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),Ozon 8h-Mittel,
1/1/2010 12:30,62,51.1,2.13,-0.96,59,0,278,1.66,-2.67,1/25/2009,8.63829787234043,61,20.2923404255319,58.99,28.8840425531915,63.27,2.89291666666667,2356,0,6.44,0.12,53,1
1/1/2010 13:00,46,47.45,2.77,-1.24,45,0,292,2.13,-3.56,1/26/2009,60.6382978723404,243,43.7285106382979,121.29,18.851914893617,57.32,1.123125,2273,0,3.61,-2,53,1
1/1/2010 13:30,30,49.12,4.01,-1.05,48,0,314,2.28,-3.68,1/27/2009,141.347826086957,217,69.4480434782609,96.66,1.52826086956522,2.84,-0.920851063829787,632,0,0.6,-3.7,2,1
1/1/2010 14:00,23,48.05,5.76,-0.61,41,0,325,1.83,-3.41,1/28/2009,119.021276595745,354,53.713829787234,119.51,15.8478723404255,56.66,1.07541666666667,1190,0,2.91,-0.04,44,1
1/1/2010 14:30,40,52.08,2.65,-0.89,37,0,290,2.62,-3.86,1/29/2009,11.8723404255319,60,18.0255319148936,61.05,32.6406382978723,48.57,0.736875,2573,0,2.73,-3.13,52,1
1/1/2010 15:00,30,49.97,3.63,-0.97,29,0,298,2.71,-4.31,1/30/2009,16.1276595744681,79,23.943829787234,61.43,24.0844680851064,42.83,0.194375,2634,0,3.81,-3.35,36,2
1/1/2010 15:30,29,51.91,5.37,-0.81,19,0,298,2.23,-4.34,1/31/2009,3.25,16,7.54375,25.91,41.335,56.25,0.087708333333333,781,0,1.75,-1.19,48,2
1/1/2010 16:00,14,49.62,3.9,-1.71,13,0,308,2.5,-5.09,2/1/2009,2.04255319148936,12,5.49978723404255,19.3,46.5470212765957,56.14,-0.059375,1994,0,1.01,-1.52,51,2
1/1/2010 16:30,10,44.79,8.3,-1.59,8,0,313,2.24,-5.03,2/2/2009,11.5454545454545,46,19.7425,51.11,36.3209090909091,47,2.99979166666667,1679,0,6.51,0,48,3
1/1/2010 17:00,6,45.93,9.17,-1.73,0,0,335,2.14,-5.15,2/3/2009,88.2765957446808,185,58.6046808510638,81.15,2.74510638297872,9.31,1.04354166666667,2698,0,5.32,-2.37,27,3
1/1/2010 17:30,7,41.9,12.56,-1.67,0,0,329,1.61,-5.36,2/4/2009,105.468085106383,201,61.1104255319149,97.51,1.05914893617021,2.89,1.401875,1103,0.21,4.46,-1.21,2,4
1/1/2010 18:00,7,53.44,2.99,-2.58,0,0,307,2.36,-6.2,2/5/2009,116.659574468085,317,67.0423404255319,105.8,3.43808510638298,25.23,2.18541666666667,1542,0.05,8.4,-3.8,9,4
1/1/2010 18:30,17,55.93,0.81,-3.55,0,0,297,1.71,-6.7,2/6/2009,75.0212765957447,157,63.4553191489362,93.67,2.21297872340425,8.24,3.62770833333333,1907,4.07,6.04,1.92,5,4
1/1/2010 19:00,22,54.23,1.09,-4.07,0,0,298,0.37,-6.99,2/7/2009,74.8510638297872,108,56.2521276595745,74.47,0.888723404255319,2.91,2.61125,506,6.93,3.53,1.42,2,4
1/1/2010 19:30,21,55.33,1.08,-4.36,0,0,286,0.65,-7.22,2/8/2009,7.23404255319149,22,24.1659574468085,37.84,28.3427659574468,50.42,1.89416666666667,1340,0,3.25,0.01,42,4
1/1/2010 20:00,25,56.02,1.36,-4.78,0,0,320,0.67,-7.59,2/9/2009,6.76595744680851,26,34.2029787234043,56.2,20.8191489361702,49.3,1.44041666666667,713,1.95,3.94,-0.27,29,4
1/1/2010 20:30,36,58.06,1.15,-5.08,0,0,295,0.81,-7.7,2/10/2009,7.31914893617021,19,18.8957446808511,38.51,40.6970212765957,56.06,5.506875,293,5.74,9.9,3.51,45,4
1/1/2010 21:00,28,52.44,1.51,-5.28,0,0,338,0.61,-7.79,2/11/2009,16.25,64,32.3141666666667,82.7,36.535,57.08,2.75979166666667,2134,0.31,4.39,1.57,47,4
1/1/2010 21:30,33,53.1,1.53,-5.73,0,0,345,0.6,-8.08,2/12/2009,19.3191489361702,72,41.2963829787234,92.34,24.6317021276596,57.18,0.042916666666667,1903,3.6,2.12,-1.03,43,4
1/1/2010 22:00,52,54.81,2.48,-5.78,0,0,304,0.5,-7.95,2/13/2009,22.7234042553191,80,48.0910638297873,88.05,12.038085106383,25.64,0.028958333333333,1592,1.44,1.76,-0.8,19,4
1/1/2010 22:30,41,50.87,2.32,-6.06,0,0,331,1.08,-8.1,2/14/2009,14.3829787234043,71,28.6953191489362,61.25,26.6936170212766,52.04,-0.684166666666667,2550,3.88,2.02,-3.63,43,4
1/1/2010 23:00,39,50.99,1.71,-6.47,0,0,327,0.9,-8.46,2/15/2009,7.8936170212766,20,31.5944680851064,55.15,20.9776595744681,47.35,-2.30979166666667,3603,0,0.99,-6.53,37,4
1/1/2010 23:30,35,49.15,1.48,-6.81,0,0,324,0.79,-8.75,2/16/2009,9.95454545454546,38,37.8447727272727,58.87,14.495,30.07,-0.745833333333333,732,13,0,-1.93,24,3
1/2/2010 0:00,29,48.49,1.86,-6.76,0,0,318,0.59,-8.67,2/17/2009,24.0212765957447,151,30.1772340425532,78.79,19.4844680851064,61.1,0.571458333333333,474,18.8,2.8,-2.62,43,3
1/2/2010 0:30,39,48.57,1.77,-6.82,0,0,302,0.6,-8.72,2/18/2009,13.8510638297872,84,25.9572340425532,70.36,39.046170212766,57.49,-2.85083333333333,4741,0,0.85,-6.7,56,3
1/2/2010 1:00,49,51.16,1.98,-7.11,0,0,306,0.58,-8.96,2/19/2009,22.531914893617,90,48.0787234042553,81.25,18.0582978723404,47.7,-2.51208333333333,3979,0,1.99,-7.05,44,2
1/2/2010 1:30,52,50.08,1.86,-7.29,0,0,321,0.54,-9.06,2/20/2009,15.1063829787234,44,47.5708510638298,57.8,6.96978723404255,18.92,0.047708333333333,651,1.68,1.2,-1.06,11,2
1/2/2010 2:00,,,,-7.22,0,0,59,0.35,-8.96,2/21/2009,37.468085106383,91,48.6114893617021,61.4,3.00170212765957,15.78,2.299375,1219,0.36,3.97,1.22,7,2
1/2/2010 2:30,44,47.33,1.4,-7.29,0,0,326,0.29,-9.02,2/22/2009,7.41666666666667,48,28.6660416666667,50.64,17.3825,35.12,2.33416666666667,266,13.47,3.93,0.11,30,2
1/2/2010 3:00,39,46.25,0.96,-7.07,0,0,294,0.24,-8.77,2/23/2009,18.3888888888889,70,42.9877777777778,84.97,24.6434210526316,59.76,4.03452380952381,634,0.97,5.68,2.76,34,2
1/2/2010 3:30,45,43.52,1.07,-6.82,0,0,325,0.52,-8.52,2/24/2009,15.5238095238095,75,35.4938095238095,78.9,28.0895238095238,57.08,3.1093023255814,1085,0,4.75,2.12,42,2
1/2/2010 4:00,46,40.22,0.89,-6.53,0,0,304,0.38,-8.24,2/25/2009,27,176,40.8229787234042,79.45,21.908085106383,54.62,3.07375,4527,0,6.95,-1.42,40,2
1/2/2010 4:30,43,41.6,0.87,-6.11,0,0,97,0.23,-7.89,2/26/2009,15.0212765957447,47,38.5255319148936,59.69,18.116170212766,31.44,4.29770833333333,836,0.46,6.41,1.85,25,2
1/2/2010 5:00,41,42.77,0.33,-5.59,0,0,96,0.15,-7.43,2/27/2009,13.3617021276596,47,35.1895744680851,65.37,21.8665957446808,40.8,5.77458333333333,804,0.78,7.2,4.63,29,2
1/2/2010 5:30,41,43.52,0.46,-5.25,0,0,94,0.22,-7.2,2/28/2009,3.8695652173913,14,18.3969565217391,31.39,31.1134042553191,55.74,7.39,2453,0.33,10.03,5.1,48,1
1/2/2010 6:00,44,43.92,0.85,-5.1,0,0,310,0.23,-7.14,3/1/2009,14.3829787234043,45,33.0946808510638,60.74,24.0393617021277,69.67,7.19125,4638,0,13.25,1.36,48,1
1/2/2010 6:30,49,41.29,0.34,-4.81,0,0,292,0.26,-6.92,3/2/2009,23.6904761904762,69,47.0469047619047,72.88,12.3797727272727,39.48,7.50979166666667,1110,0,9.21,6.04,29,1
1/2/2010 7:00,48,41.51,0.63,-4.84,0,0,330,0.79,-6.96,3/3/2009,21.3617021276596,156,38.4625531914894,89.25,20.861914893617,60.88,5.67791666666667,4799,0,9.01,2.19,43,1
1/2/2010 7:30,64,44.02,0.73,-4.87,0,0,332,0.75,-6.88,3/4/2009,3.40425531914894,19,20.7178723404255,45.88,38.2021276595745,75.12,6.57875,3513,0,10.76,3.13,59,1
1/2/2010 8:00,53,48.23,1.15,-4.75,0,0,291,0.79,-6.82,3/5/2009,30.1276595744681,131,49.248085106383,100.28,6.76574468085107,15.33,4.02020833333333,529,7.28,5.79,3.29,37,1
1/2/2010 8:30,48,47.58,0.76,-4.64,6,0,9,0.79,-6.85,3/6/2009,17.2978723404255,51,36.4263829787234,70.58,22.3153191489362,53.03,3.42291666666667,638,12.15,4.26,2.86,37,1
1/2/2010 9:00,62,50.54,0.89,-4.37,10,0,299,0.36,-6.68,3/7/2009,8.40425531914894,23,25.9112765957447,53.8,48.491914893617,67.59,4.010625,3671,0.52,8.35,1.4,57,1
1/2/2010 9:30,80,53.84,1.49,-3.99,20,0,270,0.5,-6.41,3/8/2009,2.23404255319149,8,18.1836170212766,30.14,49.2902127659574,67.32,5.49270833333333,698,3.56,6.92,3.5,56,1
1/2/2010 10:00,76,56.13,2.12,-3.94,19,0,329,0.67,-6.3,3/9/2009,11.2391304347826,32,24.1254347826087,44.89,59.8148936170213,79.86,4.87208333333334,2428,0.18,6.33,2.76,65,1
1/2/2010 10:30,97,54.19,1.53,-3.7,24,0,333,1.05,-5.9,3/10/2009,8.29166666666667,27,25.2016666666667,54.95,46.8516666666667,62.12,4.345,884,0,5.44,3.43,58,1
1/2/2010 11:00,88,51.47,1.83,-3.33,39,0,292,0.8,-5.5,3/11/2009,21.4042553191489,114,43.0744680851064,107.22,30.8965957446809,67.02,4.655,2063,0,7.85,2.11,49,1
1/2/2010 11:30,89,52.93,2.44,-2.53,52,0,122,0.23,-4.89,3/12/2009,11.7872340425532,36,40.6010638297872,65.28,17.0865957446809,44.42,4.11145833333333,1423,9.79,6.18,1.67,28,1
1/2/2010 12:00,105,60.13,2.15,-1.71,55,0,198,0.78,-4.74,3/13/2009,17.7659574468085,77,37.8842553191489,62.12,23.223829787234,62.22,7.96541666666667,3310,2.19,11.06,5.42,42,1
1/2/2010 12:30,95,57.64,1.86,-1.69,50,0,185,0.7,-4.74,3/14/2009,11.9347826086957,45,31.6221739130435,49.16,23.7391489361702,57.22,8.11083333333333,3672,0,12.2,3.83,42,1
1/2/2010 13:00,97,61.27,2.5,-1.43,86,0,249,0.93,-4.6,3/15/2009,7.72340425531915,31,24.261914893617,65.15,50.1482978723404,72.95,8.538125,1120,0.12,9.69,7.37,59,1
1/2/2010 13:30,73,56.51,3.92,-1.51,94,0,311,1.05,-4.49,3/16/2009,25.6590909090909,116,41.3622727272727,75.51,25.0086363636364,55.77,7.72,3248,0.18,10.21,5.32,41,2
1/2/2010 14:00,78,58.49,4.6,-1.13,102,0,288,0.76,-4.17,3/17/2009,35.5,143,36.0867391304348,77.05,25.3563829787234,74.8,6.643125,4956,0,12.27,2.18,61,2
1/2/2010 14:30,73,60.61,5.46,-0.87,108,0,319,1.2,-4.15,3/18/2009,25.0851063829787,101,46.5810638297872,86.32,20.8959574468085,53.74,5.55645833333333,6146,0,11.11,0.31,42,2
1/2/2010 15:00,78,60.8,3.27,-0.89,60,0,312,1.01,-4.27,3/19/2009,28.5531914893617,143,30.67,84.12,38.7829787234043,81.61,4.98479166666667,5845,0,10.26,-0.5,76,2
1/2/2010 15:30,66,63.65,3.93,-0.85,69,0,313,0.83,-4.36,3/20/2009,3.46808510638298,41,13.0578723404255,51.05,64.8087234042553,85.95,3.13,6335,0,6.05,-0.18,83,2
1/2/2010 16:00,92,71.01,2.72,-0.42,36,0,285,0.55,-4.37,3/21/2009,12.0833333333333,34,35.696875,62.3,37.6125,72.08,2.76104166666667,7520,0,7.56,-2.35,61,3
1/2/2010 16:30,58,66.54,2.51,-0.64,15,0,315,0.92,-4.73,3/22/2009,7.53191489361702,21,35.8736170212766,61.61,30.1723404255319,57.42,4.26208333333333,2941,0,7.74,-0.54,49,3
1/2/2010 17:00,53,68.34,2.35,-1.08,0,0,339,0.77,-5.17,3/23/2009,11.2127659574468,41,28.67,69.01,48.4889361702128,85.22,7.128125,1030,5.34,9.98,1.03,61,3
1/2/2010 17:30,36,66.17,2.73,-1.42,0,0,340,1.05,-5.44,3/24/2009,16.4255319148936,49,33.8840425531915,89.58,51.0602127659575,74.22,3.63916666666667,2751,1.21,6.27,0.7,67,3
1/2/2010 18:00,42,59.21,1.89,-2.06,0,0,42,0.69,-5.67,3/25/2009,8.70212765957447,25,33.1665957446808,54.57,31.1576595744681,55.71,2.21166666666667,573,2.54,4.91,-0.82,47,3
1/2/2010 18:30,59,66.84,1.9,-2.4,0,0,329,0.62,-5.72,3/26/2009,8.61702127659575,35,29.4712765957447,54.68,39.04,65.43,5.44125,1400,4.79,6.97,3.77,50,3
1/2/2010 19:00,96,66.46,2.12,-2.9,0,0,320,0.46,-5.98,3/27/2009,10.1489361702128,29,31.1882978723404,58.66,56.0472340425532,79.19,7.46791666666667,2163,1.62,9.13,6.33,63,3
1/2/2010 19:30,45,58.83,2.61,-2.6,0,0,326,1.05,-5.63,3/28/2009,3.08510638297872,10,19.3304255319149,33.03,61.064255319149,89.81,7.37541666666667,2789,2.17,9.19,5.31,76,3
1/2/2010 20:00,40,53.29,3.08,-2.49,0,0,319,1,-5.79,3/29/2009,6.12765957446809,13,22.0048936170213,39.96,52.5931914893617,77.28,6.62354166666667,5145,0,9.92,3.8,73,3
1/2/2010 20:30,64,61.42,2.03,-3.47,0,0,340,0.79,-6.33,3/30/2009,12.093023255814,92,20.6406976744186,76.15,53.5676744186046,92.28,6.49255319148936,4509,0,11.8,0.65,85,3
1/2/2010 21:00,53,58.03,2.08,-3.62,0,0,306,0.54,-6.28,3/31/2009,4.34042553191489,39,15.7791489361702,80.48,71.1157446808511,97.76,9.46208333333333,8629,0,13.73,6.12,92,3
1/2/2010 21:30,64,54.42,1.68,-3.17,0,0,120,0.12,-5.71,4/1/2009,5.95744680851064,34,14.343829787234,55.74,70.5170212765958,89.25,10.933125,6784,0,15.85,5.52,81,3
1/2/2010 22:00,55,48.81,1.23,-2.63,0,0,104,0.41,-5.18,4/2/2009,3.42857142857143,16,11.7342857142857,39.05,82.3471428571429,105.04,16.3651428571429,4132,0,21.21,10.19,96,3
1/2/2010 22:30,40,49.07,0.85,-2.31,0,0,55,0.66,-4.92,4/3/2009,11.3829787234043,56,33.3293617021277,82.96,60.2453191489362,101.75,15.39375,7598,0,18.86,11.37,87,2
1/2/2010 23:00,40,53.62,0.46,-2.62,0,0,100,0.48,-5.3,4/4/2009,6.93617021276596,17,29.8251063829787,60.98,54.3248936170213,107.74,14.283125,7778,0,19.72,8.02,92,2
1/2/2010 23:30,41,49.16,1.61,-3.15,0,0,313,0.48,-5.63,4/5/2009,4.21276595744681,13,19.0195744680851,53.6,63.6482978723404,109.32,13.5777083333333,7389,0,18.32,8.79,95,2
1/3/2010 0:00,60,54.34,1.02,-3.56,0,0,285,0.76,-5.87,4/6/2009,19.7872340425532,167,28.8151063829787,94.89,63.1863829787234,110.3,15.0933333333333,8265,0,21.49,8.05,92,2
1/3/2010 0:30,17,42.14,2.06,-3.45,0,0,344,1.19,-5.9,4/7/2009,10.4042553191489,45,30.6817021276596,85.07,63.964255319149,99.87,16.2422916666667,7816,0,22.26,10.23,89,2
1/3/2010 1:00,9,36.75,4.32,-3.44,0,0,336,1.15,-6.09,4/8/2009,6.8936170212766,22,26.6729787234043,47.21,61.4725531914894,89.87,13.96375,6507,0,17.52,10.6,83,2
1/3/2010 1:30,28,44.77,1.95,-3.7,0,0,290,1,-6.26,4/9/2009,5.45833333333333,19,20.1966666666667,54.28,68.529375,102.96,16.071875,9154,0,20.66,11.19,95,2
1/3/2010 2:00,8,35.77,5.25,-3.38,0,0,321,1.52,-6.57,4/10/2009,4.23404255319149,21,16.8497872340426,62.07,90.2604255319149,137.96,18.2233333333333,8661,0,23.76,10.56,127,2
1/3/2010 2:30,,,,-3.57,0,0,313,1.82,-6.92,4/11/2009,4,17,22.3608510638298,81.9,81.011914893617,136.58,17.30875,9006,0,23.58,9.81,119,2
1/3/2010 3:00,4,34.05,6.98,-3.75,0,0,315,1.84,-7.14,4/12/2009,5.78723404255319,17,34.9048936170213,65.35,66.46,122.55,16.1616666666667,7269,0,22.28,9.14,100,2
1/3/2010 3:30,11,37.21,1.57,-4.45,0,0,310,1.97,-7.41,4/13/2009,5.8936170212766,13,31.9857446808511,63.66,61.1636170212766,125.77,15.9314583333333,8045,0,23.37,9.67,105,2
1/3/2010 4:00,8,34.95,3.11,-4.77,0,0,314,1.21,-7.63,4/14/2009,5.86363636363636,29,26.3797727272727,56.3,74.9484444444445,133,15.8602083333333,7739,0,22.99,9.43,112,2
1/3/2010 4:30,7,35.05,2.47,-5,0,0,303,1.13,-7.7,4/15/2009,15.5744680851064,108,28.5555319148936,93.75,87.48,147.1,18.09375,8934,0,23.9,9.22,142,2
1/3/2010 5:00,8,36.09,0.23,-5.35,0,0,303,0.88,-7.99,4/16/2009,11.5106382978723,33,36.3840425531915,74.81,61.093829787234,127.44,14.2647916666667,4367,13.73,18.86,8.59,138,2
1/3/2010 5:30,4,34.4,3.16,-5.26,0,0,308,1.05,-7.81,4/17/2009,10.1489361702128,28,29.1234042553191,53.78,47.8829787234043,65.12,9.08583333333334,1673,6.65,9.97,8.14,61,2
1/3/2010 6:00,9,36.54,2.56,-5.56,0,0,307,0.7,-8.12,4/18/2009,6,25,23.6585416666667,42.97,43.2033333333333,55.51,8.44541666666667,762,29.4,9.12,7.95,51,3
1/3/2010 6:30,9,40,3.69,-5.53,0,0,331,0.67,-8.12,4/19/2009,2.36170212765957,13,7.22148936170213,27.12,72.9112765957447,103.94,13.2645833333333,9917,0,19.3,5.94,100,3
1/3/2010 7:00,19,38.12,3.71,-5.61,0,0,278,0.96,-8.04,4/20/2009,8.93617021276596,49,15.731914893617,48.52,76.9676595744681,120.22,15.5729166666667,8952,0,21.4,7.89,113,3
1/3/2010 7:30,17,47.51,3.55,-5.46,0,0,347,0.89,-8.08,4/21/2009,11.8936170212766,45,26.8617021276596,69.61,75.2987234042553,112.74,16.3316666666667,8593,0,21.82,9.85,105,3
1/3/2010 8:00,11,38.98,5.46,-5.39,0,0,272,0.86,-8.03,4/22/2009,17.5106382978723,89,38.698085106383,71.5,50.3208510638298,108.69,12.4204166666667,9222,0,17.44,7.37,97,3
1/3/2010 8:30,10,34.6,10.34,-4.81,7,0,309,0.99,-7.97,4/23/2009,12.0851063829787,51,28.3208510638298,59.86,48.2787234042553,90.49,8.82604166666667,5112,0,12.45,3.67,77,4
1/3/2010 9:00,19,37.92,13.96,-4.31,13,0,295,1.04,-7.89,4/24/2009,1.78723404255319,21,9.19829787234043,70.29,75.1031914893617,103.44,11.96875,9296,0,16.84,6.96,94,5
1/3/2010 9:30,15,32.42,14.17,-4.32,21,0,331,0.84,-8.04,4/25/2009,3.95744680851064,11,18.1797872340426,64.56,94.9221276595745,125.71,16.5689583333333,9396,0,21.48,10.1,116,5
1/3/2010 10:00,15,31.67,17.9,-3.57,29,0,344,0.85,-7.63,4/26/2009,2.97916666666667,8,21.06625,45.16,86.7714583333333,132.89,16.21,8169,0,20.84,10.02,112,6
1/3/2010 10:30,17,26.77,21.14,-2.65,67,0,326,1,-7.08,4/27/2009,8.14893617021277,22,34.6187234042553,57.24,47.2014893617021,68.68,13.2608333333333,3833,1.8,16.02,10.63,85,7
1/3/2010 11:00,10,20.2,28.41,-1.56,87,0,274,1.34,-6.96,4/28/2009,11.4042553191489,58,32.6595744680851,86.26,40.7685106382979,68.5,9.81729166666666,2780,3.72,10.65,8.14,57,8
1/3/2010 11:30,11,21.2,30.03,-0.85,122,0,282,1.1,-6.91,4/29/2009,17.6279069767442,82,35.0932558139535,60.71,33.8511627906977,59.34,9.82479166666667,4757,1.75,13.05,7.74,47,10
1/3/2010 12:00,14,25.53,30.92,-0.45,243,0,233,0.84,-6.96,4/30/2009,19.063829787234,60,32.4782978723404,50.55,22.492380952381,63,9.97354166666667,5264,0,13.45,6.56,52,12
1/3/2010 12:30,29,30.43,21.54,-0.57,265,0,300,1.63,-6.1,5/1/2009,14.6595744680851,33,28.6136170212766,57.82,39.3289361702128,105.96,13.0558333333333,8629,0,19.72,5.91,87,13
1/3/2010 13:00,20,26.55,25.67,-0.38,249,0,309,1.35,-6.32,5/2/2009,8.31914893617021,32,25.3644680851064,50.51,65.8793617021277,133.18,15.095625,10255,0,21.35,8.89,120,15
1/3/2010 13:30,19,33.68,26.18,0.09,174,0,301,1.07,-6.29,5/3/2009,4.29787234042553,14,17.4106382978723,38.76,72.9876595744681,129.17,14.7820833333333,8457,0.02,20.74,9.68,107,16
1/3/2010 14:00,17,27.31,29.21,0.38,112,0,327,1.01,-6.66,5/4/2009,9.5531914893617,28,21.4646808510638,37.33,62.8655319148936,84.59,10.3191666666667,9798,0,13.08,7.08,82,18
1/3/2010 14:30,17,28.96,30.34,0.45,96,0,321,1.51,-6.89,5/5/2009,9.95744680851064,37,28.0344680851064,57.56,39.6008510638298,75.24,9.19979166666667,3547,3.25,12.01,5.19,60,20
1/3/2010 15:00,11,23.98,30.86,0.2,73,0,321,2,-6.56,5/6/2009,8.17021276595745,31,20.7414893617021,48.67,57.3414893617021,91.54,13.1710416666667,6656,0,17.13,9.38,83,21
1/3/2010 15:30,15,30.24,27.05,0.21,83,0,307,1.76,-6.41,5/7/2009,9.80851063829787,49,26.7489361702128,50.82,65.8882978723404,111.58,14.985625,11056,0,21.92,7.77,99,23
1/3/2010 16:00,14,30.41,25.59,0.12,43,0,314,1.56,-6.39,5/8/2009,8.22916666666667,23,28.2091666666667,54.1,58.938125,93,17.0716666666667,7614,0.63,21.22,12.32,92,24
